아,에,이,오,우,히,
61613,62465,19.04,61613 ,62465,19.04,20
48548,44544,69.69,61613 ,62465,19.04,20
43928,39422,115.31,48548 ,44544,69.69,70
43928,35203,7.56,43928 ,39422,115.31,116
61613,61009,13.32,43928 ,35203,7.56,8
48548,48475,5.65,61613 ,61009,13.32,14
48548,46744,30.8,48548 ,48475,5.65,6
43928,35262,6.46,61613 ,62465,19.04,20
48548,38461,122.79,48548 ,46744,30.8,31
48548,48743,6,43928 ,35262,6.46,7
48548,44783,60.68,48548 ,46744,30.8,31
61613,54851,101.24,48548 ,46744,30.8,31
43928,31181,76.81,48548 ,38461,122.79,123
48548,42095,110.96,61613 ,62465,19.04,20
43928,28356,43.37,48548 ,48743,6,6
61613,61004,14,48548 ,46744,30.8,31
48548,48400,7.21,48548 ,44783,60.68,61
43928,32800,23.68,61613 ,54851,101.24,102
48548,50883,39.3,43928 ,31181,76.81,77
48548,41944,127.2,48548 ,42095,110.96,111
48548,44784,57.33,61613 ,62465,19.04,20
43928,31248,72.72,43928 ,28356,43.37,44
43928,31454,87.52,43928 ,28356,43.37,44
61613,57816,118.57,61613 ,61004,14,14
61613,61251,4.24,48548 ,48400,7.21,8
48548,37878,125.53,43928 ,32800,23.68,24
61613,62272,9.99,48548 ,50883,39.3,40
43928,31056,92.48,48548 ,41944,127.2,128
43928,30100,41.72,48548 ,44784,57.33,58
43928,54007,128.61,43928 ,31248,72.72,73
43928,34141,10.16,43928 ,31454,87.52,88
43928,30151,29.62,43928 ,31248,72.72,73
43928,55322,73.77,43928 ,31248,72.72,73
61613,61939,3.42,48548 ,48400,7.21,8
48548,44259,69.12,43928 ,28356,43.37,44
43928,35259,6.57,61613 ,57816,118.57,119
43928,28119,52.67,61613 ,62465,19.04,20
48548,48073,14.79,61613 ,61251,4.24,5
43928,39165,116.23,48548 ,37878,125.53,126
48548,47808,15.4,61613 ,62465,19.04,20
43928,34132,10.42,61613 ,62465,19.04,20
48548,46753,25.94,61613 ,62272,9.99,10
61613,54370,101.23,48548 ,46744,30.8,31
43928,34325,17.55,48548 ,46744,30.8,31
61613,54325,108.01,43928 ,31056,92.48,93
43928,39168,116.68,61613 ,62465,19.04,20
48548,51575,48.83,61613 ,62465,19.04,20
43928,34110,12.68,43928 ,30100,41.72,42
48548,41216,113.1,61613 ,62465,19.04,20
48548,44252,75.05,43928 ,30100,41.72,42
48548,43011,121.79,43928 ,54007,128.61,129
48548,53034,113.76,61613 ,62465,19.04,20
43928,55313,72.38,43928 ,30100,41.72,42
43928,50126,141.47,43928 ,31248,72.72,73
48548,44032,77.91,43928 ,31248,72.72,73
48548,50988,35.59,43928 ,32800,23.68,24
43928,30103,34.27,43928 ,34141,10.16,11
43928,34028,15.15,43928 ,31248,72.72,73
43928,34618,1.92,48548 ,46744,30.8,31
48548,44995,52.88,43928 ,30151,29.62,30
43928,27465,115.83,48548 ,37878,125.53,126
43928,28117,52.87,43928 ,31248,72.72,73
48548,48745,6.25,43928 ,28356,43.37,44
43928,39400,115.35,43928 ,28356,43.37,44
48548,37859,124.95,43928 ,55322,73.77,74
61613,58322,21.88,61613 ,61939,3.42,4
61613,62228,14.98,43928 ,31248,72.72,73
61613,59032,90.73,48548 ,44259,69.12,70
43928,28429,43.82,48548 ,44259,69.12,70
43928,36961,125.47,48548 ,48743,6,6
43928,39349,112.54,43928 ,35259,6.57,7
48548,37877,130.81,43928 ,31248,72.72,73
48548,47846,16.68,43928 ,28356,43.37,44
48548,48934,8.44,43928 ,28119,52.67,53
61613,62405,28.93,48548 ,48073,14.79,15
43928,31065,77.5,43928 ,31454,87.52,88
43928,34129,12.43,43928 ,39165,116.23,117
43928,34133,11.69,43928 ,35262,6.46,7
43928,34046,11.89,48548 ,47808,15.4,16
43928,28159,46.63,43928 ,34132,10.42,11
43928,32588,45.39,48548 ,46753,25.94,26
61613,58217,21.23,61613 ,54370,101.23,102
61613,56305,86.33,43928 ,34325,17.55,18
43928,35206,6.32,43928 ,31454,87.52,88
43928,39159,119.86,61613 ,54325,108.01,109
48548,37923,128.77,43928 ,28356,43.37,44
48548,48751,9.31,43928 ,39168,116.68,117
43928,39660,89.5,48548 ,51575,48.83,49
43928,34124,9.14,43928 ,31454,87.52,88
43928,28644,42.72,43928 ,34110,12.68,13
43928,28162,46.73,48548 ,41216,113.1,114
43928,39386,110.52,48548 ,44252,75.05,76
61613,54973,99.85,48548 ,43011,121.79,122
43928,31044,80.81,43928 ,31248,72.72,73
61613,57807,111.89,48548 ,53034,113.76,114
61613,58326,22.72,48548 ,48073,14.79,15
43928,35299,5.45,43928 ,32800,23.68,24
43928,28161,46.4,43928 ,55313,72.38,73
61613,54896,107.91,43928 ,34141,10.16,11
43928,39401,114.72,43928 ,50126,141.47,142
61613,58613,77.04,48548 ,44032,77.91,78
61613,58564,62.17,61613 ,61251,4.24,5
43928,34350,9.99,48548 ,50988,35.59,36
48548,53302,70.03,48548 ,37878,125.53,126
43928,31246,66.09,61613 ,61939,3.42,4
43928,39388,110.8,48548 ,44259,69.12,70
48548,44256,69.84,61613 ,62465,19.04,20
43928,54078,99.91,43928 ,30100,41.72,42
48548,46747,31.52,43928 ,30103,34.27,35
43928,39387,110.16,43928 ,31454,87.52,88
48548,41596,125.28,43928 ,31248,72.72,73
48548,47392,11.87,43928 ,31454,87.52,88
48548,44610,59.96,43928 ,34028,15.15,16
48548,48513,3.76,43928 ,34618,1.92,2
61613,59309,62.8,48548 ,44995,52.88,53
48548,37683,132.55,48548 ,50988,35.59,36
61613,61949,5.77,43928 ,27465,115.83,116
61613,57147,41.99,43928 ,35262,6.46,7
61613,57236,34.62,43928 ,35262,6.46,7
43928,36618,177.12,61613 ,62465,19.04,20
48548,51554,50.85,61613 ,62465,19.04,20
48548,38212,86.8,61613 ,62465,19.04,20
48548,50875,47.79,43928 ,28117,52.87,53
48548,44675,64.85,48548 ,44032,77.91,78
43928,34131,9.73,48548 ,48745,6.25,7
43928,34102,12.08,43928 ,39400,115.35,116
61613,58323,20.33,43928 ,34141,10.16,11
43928,34126,8.45,48548 ,37859,124.95,125
48548,37427,212.94,61613 ,58322,21.88,22
61613,57765,99.39,61613 ,62228,14.98,15
43928,32248,103.58,61613 ,59032,90.73,91
43928,28581,43.93,43928 ,28429,43.82,44
48548,51699,52.75,43928 ,28429,43.82,44
48548,49111,9.12,43928 ,36961,125.47,126
43928,55365,88.52,48548 ,37878,125.53,126
43928,32729,30.3,43928 ,31248,72.72,73
48548,52852,109.6,43928 ,39349,112.54,113
43928,30019,51.98,48548 ,48400,7.21,8
43928,31086,81.02,43928 ,28356,43.37,44
61613,59613,120.22,48548 ,37877,130.81,131
43928,28166,46.15,48548 ,47846,16.68,17
43928,34014,16.73,48548 ,44259,69.12,70
43928,34047,11.62,48548 ,44995,52.88,53
61613,54893,102.28,48548 ,44995,52.88,53
43928,28214,23.5,48548 ,48934,8.44,9
43928,28956,42.06,43928 ,31454,87.52,88
43928,34167,11.71,61613 ,62405,28.93,29
43928,31409,100.53,61613 ,62405,28.93,29
48548,47586,11.7,43928 ,31065,77.5,78
48548,41566,115.64,43928 ,34129,12.43,13
43928,31253,72.07,43928 ,35259,6.57,7
48548,37407,213.39,43928 ,34133,11.69,12
43928,39419,113.99,43928 ,34046,11.89,12
61613,62452,10.78,43928 ,34618,1.92,2
43928,28122,52.51,43928 ,34618,1.92,2
43928,31183,75.6,43928 ,34618,1.92,2
48548,48814,8.52,43928 ,34618,1.92,2
48548,51599,34.11,43928 ,34618,1.92,2
48548,42734,136.23,43928 ,34618,1.92,2
48548,46762,20.61,61613 ,62465,19.04,20
61613,55756,69.22,43928 ,28159,46.63,47
43928,31093,81.24,43928 ,32588,45.39,46
61613,61130,7.89,61613 ,62465,19.04,20
43928,30147,29.44,61613 ,58217,21.23,22
43928,33323,85.41,48548 ,44259,69.12,70
48548,51695,52.54,48548 ,47808,15.4,16
48548,37406,233.4,43928 ,34141,10.16,11
43928,31418,82.45,48548 ,44259,69.12,70
43928,30141,31.22,43928 ,31248,72.72,73
43928,36728,178.15,61613 ,56305,86.33,87
48548,44908,84.86,43928 ,35206,6.32,7
61613,54966,98.43,43928 ,39159,119.86,120
43928,30102,34.05,48548 ,37923,128.77,129
43928,30068,39.68,61613 ,62465,19.04,20
48548,50593,37.18,48548 ,48751,9.31,10
48548,53261,73.34,61613 ,62465,19.04,20
43928,35213,7.87,43928 ,34133,11.69,12
61613,54870,97,43928 ,39660,89.5,90
43928,31580,85.32,43928 ,34124,9.14,10
43928,31116,76.62,43928 ,28644,42.72,43
48548,48729,7.61,43928 ,28162,46.73,47
43928,34101,19.35,43928 ,34133,11.69,12
43928,31489,87.04,43928 ,28159,46.63,47
48548,46738,24.27,43928 ,39386,110.52,111
48548,51556,50.69,43928 ,34132,10.42,11
43928,32557,46.7,61613 ,54973,99.85,100
43928,30118,37.49,43928 ,31044,80.81,81
43928,31452,84.01,48548 ,37859,124.95,125
61613,61512,10.55,61613 ,62405,28.93,29
48548,48735,6.37,43928 ,34124,9.14,10
48548,44642,62.91,61613 ,57807,111.89,112
48548,49443,13.64,61613 ,58326,22.72,23
,,,43928 ,34141,10.16,11
,,,43928 ,34110,12.68,13
,,,43928 ,34124,9.14,10
,,,43928 ,35299,5.45,6
,,,43928 ,28161,46.4,47
,,,43928 ,34141,10.16,11
,,,43928 ,31248,72.72,73
,,,43928 ,31248,72.72,73
,,,43928 ,30100,41.72,42
,,,61613 ,54896,107.91,108
,,,61613 ,62465,19.04,20
,,,43928 ,39401,114.72,115
,,,43928 ,39400,115.35,116
,,,61613 ,62465,19.04,20
,,,43928 ,34110,12.68,13
,,,43928 ,34110,12.68,13
,,,43928 ,34110,12.68,13
,,,43928 ,28356,43.37,44
,,,61613 ,57807,111.89,112
,,,61613 ,58613,77.04,78
,,,61613 ,54896,107.91,108
,,,43928 ,39168,116.68,117
,,,61613 ,62405,28.93,29
,,,61613 ,54896,107.91,108
,,,61613 ,62405,28.93,29
,,,43928 ,31454,87.52,88
,,,61613 ,58564,62.17,63
,,,43928 ,34350,9.99,10
,,,43928 ,39401,114.72,115
,,,48548 ,48400,7.21,8
,,,43928 ,34141,10.16,11
,,,48548 ,48743,6,6
,,,48548 ,48743,6,6
,,,48548 ,48743,6,6
,,,48548 ,53302,70.03,71
,,,61613 ,62465,19.04,20
,,,48548 ,48743,6,6
,,,43928 ,31246,66.09,67
,,,43928 ,39388,110.8,111
,,,48548 ,44256,69.84,70
,,,61613 ,62465,19.04,20
,,,48548 ,44995,52.88,53
,,,48548 ,44995,52.88,53
,,,61613 ,58217,21.23,22
,,,43928 ,54078,99.91,100
,,,43928 ,35262,6.46,7
,,,48548 ,46747,31.52,32
,,,43928 ,28356,43.37,44
,,,48548 ,44784,57.33,58
,,,48548 ,48934,8.44,9
,,,43928 ,28356,43.37,44
,,,48548 ,44032,77.91,78
,,,43928 ,50126,141.47,142
,,,43928 ,34141,10.16,11
,,,43928 ,50126,141.47,142
,,,48548 ,44032,77.91,78
,,,48548 ,44032,77.91,78
,,,43928 ,31248,72.72,73
,,,43928 ,39387,110.16,111
,,,48548 ,41596,125.28,126
,,,48548 ,47392,11.87,12
,,,43928 ,31454,87.52,88
,,,48548 ,48934,8.44,9
,,,43928 ,31248,72.72,73
,,,61613 ,62465,19.04,20
,,,61613 ,62465,19.04,20
,,,61613 ,62405,28.93,29
,,,43928 ,34141,10.16,11
,,,43928 ,28356,43.37,44
,,,43928 ,31248,72.72,73
,,,43928 ,31248,72.72,73
,,,48548 ,48934,8.44,9
,,,43928 ,28356,43.37,44
,,,43928 ,35259,6.57,7
,,,43928 ,35262,6.46,7
,,,48548 ,44610,59.96,60
,,,48548 ,48743,6,6
,,,48548 ,48513,3.76,4
,,,61613 ,59309,62.8,63
,,,48548 ,37683,132.55,133
,,,61613 ,61949,5.77,6
,,,61613 ,61949,5.77,6
,,,48548 ,44032,77.91,78
,,,61613 ,57147,41.99,42
,,,61613 ,57236,34.62,35
,,,43928 ,31248,72.72,73
,,,61613 ,62465,19.04,20
,,,48548 ,46744,30.8,31
,,,43928 ,36618,177.12,178
,,,61613 ,62465,19.04,20
,,,43928 ,35203,7.56,8
,,,48548 ,46744,30.8,31
,,,43928 ,28119,52.67,53
,,,48548 ,51554,50.85,51
,,,61613 ,62465,19.04,20
,,,61613 ,62465,19.04,20
,,,61613 ,62465,19.04,20
,,,48548 ,38212,86.8,87
,,,61613 ,62465,19.04,20
,,,48548 ,44783,60.68,61
,,,48548 ,50875,47.79,48
,,,48548 ,44675,64.85,65
,,,48548 ,44675,64.85,65
,,,43928 ,34131,9.73,10
,,,43928 ,34102,12.08,13
,,,43928 ,31454,87.52,88
,,,48548 ,44259,69.12,70
,,,61613 ,58323,20.33,21
,,,43928 ,34126,8.45,9
,,,48548 ,37427,212.94,213
,,,61613 ,57765,99.39,100
,,,48548 ,44259,69.12,70
,,,43928 ,32248,103.58,104
,,,43928 ,28581,43.93,44
,,,61613 ,56305,86.33,87
,,,48548 ,50988,35.59,36
,,,48548 ,51699,52.75,53
,,,61613 ,62465,19.04,20
,,,43928 ,27465,115.83,116
,,,48548 ,49111,9.12,10
,,,43928 ,55365,88.52,89
,,,43928 ,32729,30.3,31
,,,43928 ,34618,1.92,2
,,,48548 ,52852,109.6,110
,,,43928 ,34131,9.73,10
,,,43928 ,34131,9.73,10
,,,43928 ,30019,51.98,52
,,,43928 ,39387,110.16,111
,,,43928 ,35262,6.46,7
,,,43928 ,35262,6.46,7
,,,43928 ,30100,41.72,42
,,,43928 ,35262,6.46,7
,,,43928 ,34141,10.16,11
,,,43928 ,34141,10.16,11
,,,43928 ,34141,10.16,11
,,,43928 ,34141,10.16,11
,,,43928 ,34141,10.16,11
,,,43928 ,31086,81.02,82
,,,61613 ,59613,120.22,121
,,,61613 ,62465,19.04,20
,,,61613 ,62465,19.04,20
,,,61613 ,62465,19.04,20
,,,43928 ,34129,12.43,13
,,,43928 ,31248,72.72,73
,,,61613 ,62465,19.04,20
,,,61613 ,62465,19.04,20
,,,43928 ,39400,115.35,116
,,,43928 ,28166,46.15,47
,,,43928 ,28159,46.63,47
,,,43928 ,39400,115.35,116
,,,43928 ,34131,9.73,10
,,,43928 ,31248,72.72,73
,,,43928 ,27465,115.83,116
,,,43928 ,32588,45.39,46
,,,43928 ,32588,45.39,46
,,,61613 ,62465,19.04,20
,,,43928 ,35259,6.57,7
,,,43928 ,34014,16.73,17
,,,48548 ,44032,77.91,78
,,,43928 ,34047,11.62,12
,,,43928 ,39400,115.35,116
,,,43928 ,39400,115.35,116
,,,43928 ,34110,12.68,13
,,,61613 ,54893,102.28,103
,,,48548 ,44032,77.91,78
,,,61613 ,62465,19.04,20
,,,43928 ,28214,23.5,24
,,,61613 ,62465,19.04,20
,,,43928 ,55365,88.52,89
,,,61613 ,62465,19.04,20
,,,48548 ,44259,69.12,70
,,,48548 ,44259,69.12,70
,,,61613 ,62465,19.04,20
,,,48548 ,48743,6,6
,,,48548 ,48743,6,6
,,,43928 ,55313,72.38,73
,,,43928 ,27465,115.83,116
,,,43928 ,28956,42.06,43
,,,43928 ,39400,115.35,116
,,,43928 ,34167,11.71,12
,,,48548 ,52852,109.6,110
,,,61613 ,62465,19.04,20
,,,43928 ,31409,100.53,101
,,,61613 ,62465,19.04,20
,,,43928 ,35203,7.56,8
,,,48548 ,47586,11.7,12
,,,61613 ,61251,4.24,5
,,,48548 ,41566,115.64,116
,,,43928 ,31253,72.07,73
,,,61613 ,57807,111.89,112
,,,61613 ,62465,19.04,20
,,,48548 ,44783,60.68,61
,,,48548 ,37407,213.39,214
,,,43928 ,34141,10.16,11
,,,61613 ,62465,19.04,20
,,,61613 ,62465,19.04,20
,,,43928 ,28356,43.37,44
,,,48548 ,49111,9.12,10
,,,48548 ,46744,30.8,31
,,,43928 ,28117,52.87,53
,,,61613 ,61939,3.42,4
,,,43928 ,27465,115.83,116
,,,48548 ,44995,52.88,53
,,,43928 ,39419,113.99,114
,,,48548 ,48743,6,6
,,,61613 ,62452,10.78,11
,,,61613 ,62465,19.04,20
,,,61613 ,62465,19.04,20
,,,43928 ,32248,103.58,104
,,,48548 ,44259,69.12,70
,,,43928 ,31248,72.72,73
,,,48548 ,41216,113.1,114
,,,43928 ,28122,52.51,53
,,,43928 ,34047,11.62,12
,,,43928 ,28159,46.63,47
,,,61613 ,62465,19.04,20
,,,61613 ,62465,19.04,20
,,,61613 ,62465,19.04,20
,,,61613 ,62465,19.04,20
,,,61613 ,62465,19.04,20
,,,43928 ,31183,75.6,76
,,,48548 ,46747,31.52,32
,,,43928 ,34141,10.16,11
,,,61613 ,58613,77.04,78
,,,61613 ,62465,19.04,20
,,,61613 ,62452,10.78,11
,,,43928 ,28122,52.51,53
,,,48548 ,44259,69.12,70
,,,48548 ,44259,69.12,70
,,,43928 ,34141,10.16,11
,,,43928 ,34141,10.16,11
,,,48548 ,46744,30.8,31
,,,48548 ,48934,8.44,9
,,,48548 ,41216,113.1,114
,,,61613 ,61251,4.24,5
,,,61613 ,62465,19.04,20
,,,43928 ,35262,6.46,7
,,,48548 ,48814,8.52,9
,,,48548 ,48814,8.52,9
,,,61613 ,62465,19.04,20
,,,43928 ,31248,72.72,73
,,,43928 ,31248,72.72,73
,,,48548 ,41216,113.1,114
,,,43928 ,28356,43.37,44
,,,43928 ,28356,43.37,44
,,,43928 ,28356,43.37,44
,,,43928 ,34141,10.16,11
,,,43928 ,34141,10.16,11
,,,48548 ,51599,34.11,35
,,,43928 ,31248,72.72,73
,,,48548 ,42734,136.23,137
,,,61613 ,62465,19.04,20
,,,61613 ,62465,19.04,20
,,,61613 ,62465,19.04,20
,,,61613 ,62465,19.04,20
,,,61613 ,62465,19.04,20
,,,61613 ,62465,19.04,20
,,,48548 ,46762,20.61,21
,,,43928 ,34141,10.16,11
,,,61613 ,55756,69.22,70
,,,48548 ,44032,77.91,78
,,,43928 ,31093,81.24,82
,,,48548 ,48073,14.79,15
,,,61613 ,55756,69.22,70
,,,61613 ,61130,7.89,8
,,,43928 ,30147,29.44,30
,,,43928 ,27465,115.83,116
,,,43928 ,27465,115.83,116
,,,43928 ,27465,115.83,116
,,,43928 ,33323,85.41,86
,,,48548 ,51695,52.54,53
,,,61613 ,62465,19.04,20
,,,61613 ,62465,19.04,20
,,,48548 ,37406,233.4,234
,,,43928 ,31248,72.72,73
,,,43928 ,31418,82.45,83
,,,43928 ,34141,10.16,11
,,,43928 ,30141,31.22,32
,,,43928 ,34350,9.99,10
,,,43928 ,34350,9.99,10
,,,48548 ,48934,8.44,9
,,,61613 ,62465,19.04,20
,,,61613 ,62465,19.04,20
,,,43928 ,36728,178.15,179
,,,43928 ,36728,178.15,179
,,,43928 ,31248,72.72,73
,,,43928 ,31253,72.07,73
,,,43928 ,34124,9.14,10
,,,43928 ,50126,141.47,142
,,,48548 ,44908,84.86,85
,,,43928 ,28356,43.37,44
,,,61613 ,54966,98.43,99
,,,43928 ,30102,34.05,35
,,,48548 ,44783,60.68,61
,,,43928 ,30068,39.68,40
,,,43928 ,34325,17.55,18
,,,48548 ,50593,37.18,38
,,,48548 ,49111,9.12,10
,,,43928 ,31454,87.52,88
,,,48548 ,44783,60.68,61
,,,61613 ,62228,14.98,15
,,,48548 ,53261,73.34,74
,,,43928 ,31248,72.72,73
,,,43928 ,31248,72.72,73
,,,61613 ,62465,19.04,20
,,,61613 ,62465,19.04,20
,,,61613 ,62465,19.04,20
,,,61613 ,62465,19.04,20
,,,61613 ,62465,19.04,20
,,,43928 ,32248,103.58,104
,,,61613 ,62465,19.04,20
,,,43928 ,31086,81.02,82
,,,43928 ,34133,11.69,12
,,,43928 ,31454,87.52,88
,,,48548 ,44259,69.12,70
,,,43928 ,35213,7.87,8
,,,43928 ,31248,72.72,73
,,,48548 ,44259,69.12,70
,,,48548 ,44259,69.12,70
,,,61613 ,54870,97,97
,,,43928 ,39419,113.99,114
,,,43928 ,39419,113.99,114
,,,48548 ,53261,73.34,74
,,,43928 ,35262,6.46,7
,,,48548 ,44259,69.12,70
,,,43928 ,31580,85.32,86
,,,43928 ,31116,76.62,77
,,,48548 ,48729,7.61,8
,,,43928 ,39419,113.99,114
,,,43928 ,31248,72.72,73
,,,43928 ,39419,113.99,114
,,,43928 ,34141,10.16,11
,,,43928 ,35262,6.46,7
,,,43928 ,34101,19.35,20
,,,43928 ,39400,115.35,116
,,,43928 ,55365,88.52,89
,,,61613 ,62465,19.04,20
,,,61613 ,62465,19.04,20
,,,61613 ,62465,19.04,20
,,,61613 ,62465,19.04,20
,,,43928 ,39419,113.99,114
,,,43928 ,31489,87.04,88
,,,48548 ,37406,233.4,234
,,,43928 ,35262,6.46,7
,,,43928 ,31248,72.72,73
,,,43928 ,39400,115.35,116
,,,43928 ,35262,6.46,7
,,,48548 ,46738,24.27,25
,,,43928 ,39419,113.99,114
,,,43928 ,39419,113.99,114
,,,61613 ,62465,19.04,20
,,,48548 ,48934,8.44,9
,,,61613 ,62465,19.04,20
,,,43928 ,27465,115.83,116
,,,43928 ,39400,115.35,116
,,,48548 ,51556,50.69,51
,,,48548 ,48073,14.79,15
,,,48548 ,51556,50.69,51
,,,43928 ,34047,11.62,12
,,,48548 ,48073,14.79,15
,,,43928 ,32557,46.7,47
,,,43928 ,31181,76.81,77
,,,48548 ,48743,6,6
,,,43928 ,27465,115.83,116
,,,43928 ,28166,46.15,47
,,,43928 ,39388,110.8,111
,,,43928 ,28356,43.37,44
,,,43928 ,30118,37.49,38
,,,48548 ,48513,3.76,4
,,,43928 ,31452,84.01,85
,,,43928 ,31248,72.72,73
,,,48548 ,50593,37.18,38
,,,61613 ,61512,10.55,11
,,,61613 ,61512,10.55,11
,,,43928 ,28644,42.72,43
,,,48548 ,48934,8.44,9
,,,48548 ,47808,15.4,16
,,,43928 ,32800,23.68,24
,,,48548 ,48400,7.21,8
,,,48548 ,48400,7.21,8
,,,48548 ,48400,7.21,8
,,,48548 ,48400,7.21,8
,,,43928 ,34047,11.62,12
,,,43928 ,55365,88.52,89
,,,43928 ,28122,52.51,53
,,,61613 ,62465,19.04,20
,,,43928 ,39388,110.8,111
,,,43928 ,39388,110.8,111
,,,48548 ,47808,15.4,16
,,,48548 ,47808,15.4,16
,,,48548 ,48934,8.44,9
,,,61613 ,61939,3.42,4
,,,43928 ,34047,11.62,12
,,,48548 ,48400,7.21,8
,,,61613 ,62465,19.04,20
,,,43928 ,39419,113.99,114
,,,43928 ,39388,110.8,111
,,,43928 ,34047,11.62,12
,,,48548 ,48743,6,6
,,,43928 ,34047,11.62,12
,,,43928 ,31248,72.72,73
,,,61613 ,61512,10.55,11
,,,61613 ,62465,19.04,20
,,,61613 ,62465,19.04,20
,,,61613 ,62465,19.04,20
,,,61613 ,61004,14,14
,,,48548 ,48735,6.37,7
,,,61613 ,61004,14,14
,,,48548 ,41216,113.1,114
,,,48548 ,44642,62.91,63
,,,48548 ,49443,13.64,14
,,,43928 ,34126,8.45,9
,,,61613 ,61004,14,14
,,,61613 ,61004,14,14
